YYYY-MM-DD,hh:mm:ss,air_temp,wind_direction,wind_speed,pressure
2014-02-16,20:24:17,-7.5263,45.0,3.3792,982.32
2014-02-16,20:24:22,-7.5007,39.0,2.7443,982.3
2014-02-16,20:24:27,-7.4955,53.0,2.7238,982.31
2014-02-16,20:24:32,-7.4955,52.0,2.7034,982.3
2014-02-16,20:24:37,-7.5004,40.0,3.2154,982.31
2014-02-16,20:24:42,-7.4645,45.0,3.9936,982.31
2014-02-16,20:24:47,-7.4335,46.0,3.8298,982.32
2014-02-16,20:24:52,-7.4438,41.0,3.9936,982.28
2014-02-16,20:24:57,-7.4438,49.0,4.5466,982.31
2014-02-16,20:25:02,-7.4076,51.0,4.1984,982.31
2014-02-16,20:25:07,-7.3767,36.0,4.0141,982.3
2014-02-16,20:25:12,-7.3766,33.0,4.1779,982.29
2014-02-16,20:25:17,-7.4024,41.0,4.1779,982.29
2014-02-16,20:25:22,-7.4335,54.0,4.4237,982.27
2014-02-16,20:25:27,-7.4388,47.0,4.7514,982.28
2014-02-16,20:25:32,-7.4541,53.0,4.2189,982.28
2014-02-16,20:25:37,-7.4697,46.0,3.8707,982.29
2014-02-16,20:25:42,-7.5059,44.0,3.5635,982.27
2014-02-16,20:25:47,-7.4955,40.0,3.4816,982.27
2014-02-16,20:25:52,-7.4954,39.0,3.5226,982.27
2014-02-16,20:25:57,-7.5007,43.0,4.3827,982.29
2014-02-16,20:26:02,-7.48,43.0,4.9152,982.28
2014-02-16,20:26:07,-7.485,46.0,4.7718,982.27
2014-02-16,20:26:12,-7.5109,48.0,4.6899,982.27
2014-02-16,20:26:17,-7.5418,50.0,4.608,982.26
2014-02-16,20:26:22,-7.5833,53.0,4.3418,982.26
2014-02-16,20:26:27,-7.6243,50.0,4.3622,982.24
2014-02-16,20:26:32,-7.6296,43.0,4.2598,982.26
2014-02-16,20:26:37,-7.6449,40.0,3.7478,982.25
2014-02-16,20:26:42,-7.6192,52.0,3.6864,982.26
2014-02-16,20:26:47,-7.6346,47.0,4.1574,982.26
2014-02-16,20:26:52,-7.6553,45.0,4.1984,982.27
2014-02-16,20:26:57,-7.6398,52.0,3.8093,982.24
2014-02-16,20:27:02,-7.619,61.0,2.9901,982.26
2014-02-16,20:27:07,-7.5882,40.0,3.4202,982.26
2014-02-16,20:27:12,-7.5832,44.0,4.7923,982.18
2014-02-16,20:27:17,-7.5524,46.0,4.4442,982.25
2014-02-16,20:27:22,-7.5625,45.0,4.5466,982.24
2014-02-16,20:27:27,-7.5521,53.0,4.3008,982.22
2014-02-16,20:27:32,-7.5731,51.0,4.3622,982.23
2014-02-16,20:27:37,-7.6296,50.0,4.4032,982.24
2014-02-16,20:27:42,-7.6245,45.0,4.567,982.26
2014-02-16,20:27:47,-7.6449,44.0,4.7104,982.22
2014-02-16,20:27:52,-7.6554,42.0,4.8333,982.23
2014-02-16,20:27:57,-7.6656,51.0,4.7718,982.22
2014-02-16,20:28:02,-7.6708,45.0,4.8947,982.25
2014-02-16,20:28:07,-7.6604,48.0,4.8947,982.26
2014-02-16,20:28:12,-7.6346,44.0,4.649,982.25
2014-02-16,20:28:17,-7.6347,50.0,4.4237,982.21
2014-02-16,20:28:22,-7.6451,50.0,4.5466,982.22
2014-02-16,20:28:27,-7.6813,45.0,4.6694,982.23
2014-02-16,20:28:32,-7.7018,41.0,4.6694,982.22
2014-02-16,20:28:37,-7.7068,44.0,4.4851,982.21
2014-02-16,20:28:42,-7.6192,57.0,4.3827,982.22
2014-02-16,20:28:47,-7.5625,51.0,4.1984,982.23
2014-02-16,20:28:52,-7.5366,43.0,4.1779,982.23
2014-02-16,20:28:57,-7.5162,44.0,4.4442,982.19
2014-02-16,20:29:02,-7.5419,44.0,4.7309,982.19
2014-02-16,20:29:07,-7.5728,41.0,4.649,982.19
2014-02-16,20:29:12,-7.6087,41.0,4.4851,982.18
2014-02-16,20:29:17,-7.6295,44.0,4.4032,982.18
2014-02-16,20:29:22,-7.6553,50.0,4.4032,982.22
2014-02-16,20:29:27,-7.6811,51.0,4.4237,982.22
2014-02-16,20:29:32,-7.6864,53.0,4.2394,982.21
2014-02-16,20:29:37,-7.6863,47.0,3.8502,982.21
2014-02-16,20:29:42,-7.6966,35.0,3.8912,982.22
2014-02-16,20:29:47,-7.6966,35.0,4.0755,982.21
2014-02-16,20:29:52,-7.6915,44.0,4.3008,982.2
2014-02-16,20:29:57,-7.6863,43.0,4.5875,982.22
2014-02-16,20:30:02,-7.676,46.0,4.9357,982.24
2014-02-16,20:30:07,-7.6451,40.0,4.4851,982.2
2014-02-16,20:30:12,-7.6398,39.0,4.2394,982.22
